delegacion,colonia,poblacion
VENUSTIANO CARRANZA,MICHOACANA,1129
VENUSTIANO CARRANZA,MOCTEZUMA 1A SECCION,10431
VENUSTIANO CARRANZA,MOCTEZUMA 2A SECCION,42795
VENUSTIANO CARRANZA,MORELOS,31505
VENUSTIANO CARRANZA,NICOLAS BRAVO,2783
VENUSTIANO CARRANZA,PENITENCIARIA,973
VENUSTIANO CARRANZA,PENSADOR MEXICANO,11729
VENUSTIANO CARRANZA,PEÑON DE LOS BAÑOS,9921
VENUSTIANO CARRANZA,POPULAR RASTRO,3374
VENUSTIANO CARRANZA,PROGRESISTA,733
VENUSTIANO CARRANZA,PUEBLA,6508
VENUSTIANO CARRANZA,PUEBLO DE LA MAGDALENA MIXHUCA,5057
VENUSTIANO CARRANZA,REVOLUCION,5325
VENUSTIANO CARRANZA,ROMERO RUBIO,11796
VENUSTIANO CARRANZA,SANTA CRUZ AVIACION,2046
VENUSTIANO CARRANZA,SEVILLA,2352
VENUSTIANO CARRANZA,SIMON BOLIVAR,5199
VENUSTIANO CARRANZA,TRES MOSQUETEROS,212
VENUSTIANO CARRANZA,VALENTIN GOMEZ FARIAS,5388
VENUSTIANO CARRANZA,VALLE GOMEZ,9558
VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,3220
VENUSTIANO CARRANZA,CENTRO,18434
VENUSTIANO CARRANZA,NO IDENTIFICADA,352
XOCHIMILCO,3 DE MAYO,366
XOCHIMILCO,BARRIO AHUALAPA,718
XOCHIMILCO,BARRIO APATLACO,1460
XOCHIMILCO,BELEN,1142
XOCHIMILCO,BARRIO CALPULCO,1195
XOCHIMILCO,CALYEQUITA,1934
XOCHIMILCO,CHAPULTEPEC,634
XOCHIMILCO,BARRIO DEL PUENTE,1562
XOCHIMILCO,BARRIO EL CALVARIO,1081
XOCHIMILCO,EL ROSARIO,627
XOCHIMILCO,BARRIO LA ASUNCION,524
XOCHIMILCO,BARRIO LA ASUNCION,4599
XOCHIMILCO,LA CONCEPCION TLACOAPA,3435
XOCHIMILCO,BARRIO LA GALLERA,533
XOCHIMILCO,GUADALUPANA,1909
XOCHIMILCO,BARRIO LA GUADALUPITA,1424
XOCHIMILCO,LA PLANTA,7697
XOCHIMILCO,LA SANTISIMA,1302
XOCHIMILCO,BARRIO LAS FLORES,1523
XOCHIMILCO,LOS REYES,1130
XOCHIMILCO,BARRIO NIÑOS HEROES,2408
XOCHIMILCO,BARRIO POCITOS,1720
XOCHIMILCO,BARRIO SAN ANDRES,1249
XOCHIMILCO,BARRIO SAN ANTONIO,177
XOCHIMILCO,BARRIO SAN ANTONIO,2050
XOCHIMILCO,SAN CRISTOBAL,3566
XOCHIMILCO,SAN DIEGO,1578
XOCHIMILCO,SAN ESTEBAN,2995
XOCHIMILCO,BARRIO SAN JOSE,663
XOCHIMILCO,BARRIO SAN JUAN,1863
XOCHIMILCO,BARRIO SAN JUAN,1993
XOCHIMILCO,SAN JUAN MINAS,2426
XOCHIMILCO,SAN JUAN MOYOTEPEC,1626
XOCHIMILCO,SAN LORENZO,4521
XOCHIMILCO,BARRIO SAN MARCOS,5298
XOCHIMILCO,SAN PEDRO,2449
XOCHIMILCO,SAN SEBASTIAN,388
XOCHIMILCO,BARRIO SANTA CECILIA,600
XOCHIMILCO,SANTA CRUCITA,399
XOCHIMILCO,BARRIO TETITLA,1597
XOCHIMILCO,XALTOCAN,9823
XOCHIMILCO,BOSQUE RESIDENCIAL DEL SUR,3909
XOCHIMILCO,CERRILLOS 1A SECCION,2435
XOCHIMILCO,CERRILLOS 2A SECCION,3239
XOCHIMILCO,CERRILLOS 3A SECCION,1465
XOCHIMILCO,CRISTO REY,2867
XOCHIMILCO,DEL CARMEN,5742
XOCHIMILCO,JAZMIN,2940
XOCHIMILCO,EL MIRADOR,2285
XOCHIMILCO,EL MIRADOR,1787
XOCHIMILCO,EL SACRIFICIO,985
XOCHIMILCO,GUADALUPITA,1489
XOCHIMILCO,HUICHAPAN,5006
XOCHIMILCO,JARDINES DEL SUR,4220
XOCHIMILCO,LA CAÑADA,2424
XOCHIMILCO,LA CONCHA,2145
XOCHIMILCO,LA NORIA,3807
XOCHIMILCO,LAS ANIMAS,1407
XOCHIMILCO,LAS MESITAS,758
XOCHIMILCO,LAS PERITAS,1170
XOCHIMILCO,LOMAS DE NATIVITAS,2140
XOCHIMILCO,LOMAS DE TONALCO,1570
XOCHIMILCO,NATIVITAS,2144
XOCHIMILCO,PASEOS DEL SUR,1711
XOCHIMILCO,POTRERO DE SAN BERNARDINO,2792
XOCHIMILCO,SANTA MARIA TEPEPAN,13475
XOCHIMILCO,SAN ANDRES AHUAYUCAN,2455
XOCHIMILCO,SAN FRANCISCO TLALNEPANTLA,3008
XOCHIMILCO,SAN GREGORIO ATLAPULCO,15208
XOCHIMILCO,SAN LORENZO ATEMOAYA,1116
XOCHIMILCO,SAN LUCAS XOCHIMANCA,9139
XOCHIMILCO,SAN LUIS TLAXIALTEMALCO,3913
XOCHIMILCO,SAN MATEO XALPA,16065
XOCHIMILCO,PUEBLO SANTA CECILIA TEPETLAPA,6648
XOCHIMILCO,SANTA CRUZ XOCHITEPEC,12257
XOCHIMILCO,PUEBLO SANTA MARIA NATIVITAS,8034
XOCHIMILCO,SANTIAGO TEPALCATLALPAN,12018
XOCHIMILCO,QUIRINO MENDOZA,1668
XOCHIMILCO,RANCHO TEJOMULCO,1375
XOCHIMILCO,RINCONADA COAPA,71
XOCHIMILCO,ROSARIO TLALI,1052
XOCHIMILCO,SAN BARTOLO EL CHICO,439
XOCHIMILCO,SAN FELIPE DE JESUS,4067
XOCHIMILCO,SAN ISIDRO,1006
XOCHIMILCO,SAN JERONIMO,3044
XOCHIMILCO,SAN JUAN TEPEPAN,4161
XOCHIMILCO,SAN LORENZO LA CEBADA,20711
XOCHIMILCO,ORIENTE,842
XOCHIMILCO,SANTA CRUZ CHAVARRIETA,1856
XOCHIMILCO,SANTA CRUZ DE GUADALUPE,2485
XOCHIMILCO,SANTA INES,565
XOCHIMILCO,SANTIAGUITO,604
XOCHIMILCO,TABLAS DE SAN LORENZO,3420
XOCHIMILCO,TEXMIC,1508
XOCHIMILCO,TIERRA NUEVA,1860
XOCHIMILCO,VALLE DE SANTA MARIA,409
XOCHIMILCO,XOCHIPILLI,1955
